Number,Hotel,Rating,link,Travel,Location,Sleep,Rooms,Distance,Reviews,Cleanliness,New Rating_0_5,Residuals,New Rating
1,Grand Hyatt Goa,5,http://www.tripadvisor.in/Hotel_Review-g2322134-d2163385-Reviews-Grand_Hyatt_Goa-Bambolim_Goa.html,8,4,4.5,4.5,4,4,4.5,4.1,0.8,8.2
2,Park Hyatt Goa Resort and Spa,5,http://www.tripadvisor.in/Hotel_Review-g312681-d307512-Reviews-Park_Hyatt_Goa_Resort_and_Spa-Cansaulim_Goa.html,8,4.5,4.5,4.5,4,4,4.5,4,1,8.1
3,"Country Inn & Suites By Carlson, Goa Candolim",4,http://www.tripadvisor.in/Hotel_Review-g297605-d2057388-Reviews-Country_Inn_Suites_By_Carlson_Goa_Candolim-Candolim_Bardez_Goa.html,8,4,4.5,4.5,4.5,4.5,4.5,3.6,0.2,7.2
4,Vivanta by Taj - Panaji,5,http://www.tripadvisor.in/Hotel_Review-g303877-d1480400-Reviews-Vivanta_by_Taj_Panaji-Panaji_Goa.html,8,4,4.5,4.5,4.5,4.5,4.5,3.6,2,7.2
5,The LaLiT Golf & Spa Resort Goa,5,http://www.tripadvisor.in/Hotel_Review-g306996-d299125-Reviews-The_LaLiT_Golf_Spa_Resort_Goa-Canacona_Goa.html,8,4,4.5,4.5,4,4,4.5,4.1,0.8,8.2
6,16 Degrees North,3,http://www.tripadvisor.in/Hotel_Review-g635747-d3179949-Reviews-16_Degrees_North-Baga_Goa.html,8,4.5,4.5,4.5,4.5,4.5,4.5,3.5,0.2,7
7,Santa Monica Resorte,3,http://www.tripadvisor.in/Hotel_Review-g306995-d315561-Reviews-Santa_Monica_Resorte-Calangute_Goa.html,6,3.5,3.5,3.5,3.5,3.5,3.5,1.9,1.2,3.9
8,Fortune Select Regina,4,http://www.tripadvisor.in/Hotel_Review-g297605-d1657397-Reviews-Fortune_Select_Regina-Candolim_Bardez_Goa.html,8,4,4.5,4.5,4.5,4,4.5,3.9,0,7.7
9,Beleza...by the beach,4,http://www.tripadvisor.in/Hotel_Review-g1925961-d1380347-Reviews-Beleza_by_the_beach-Betalbatim_Salcette_District_Goa.html,8,4.5,4.5,4.5,4.5,4.5,4.5,3.5,0.2,7
10,Jasminn by Mango Hotels,3,http://www.tripadvisor.in/Hotel_Review-g1925961-d1150049-Reviews-Jasminn_by_Mango_Hotels-Betalbatim_Salcette_District_Goa.html,8,4,4.5,4.5,4.5,4.5,4.5,3.6,0.4,7.2
11,The Park Calangute Goa,4.5,http://www.tripadvisor.in/Hotel_Review-g306995-d2521803-Reviews-The_Park_Calangute_Goa-Calangute_Goa.html,7,4.5,4,4,4,3.5,3.5,3.3,1.4,6.7
12,Royal Palms,3,http://www.tripadvisor.in/Hotel_Review-g306994-d306825-Reviews-Royal_Palms-Benaulim_Goa.html,6,3.5,4,3.5,3.5,3.5,3.5,2.5,0.2,4.9
13,Fahrenheit Hotels and Resorts,3,http://www.tripadvisor.in/Hotel_Review-g306995-d2073429-Reviews-Fahrenheit_Hotels_and_Resorts-Calangute_Goa.html,8,4.5,4.5,4.5,4.5,4.5,4.5,3.5,0.2,7
14,Lazylagoon Sarovar Portico Suites,3.5,http://www.tripadvisor.in/Hotel_Review-g635747-d939049-Reviews-Lazylagoon_Sarovar_Portico_Suites-Baga_Goa.html,8,4,4.5,4,4,4,4,3.6,0,7.3
15,Deltin Suites,4,http://www.tripadvisor.in/Hotel_Review-g303877-d3946833-Reviews-Deltin_Suites-Panaji_Goa.html,8,4,4.5,4.5,4,4,4.5,4.1,0,8.2
16,Radisson Blu Resort Goa Cavelossim Beach,4.5,http://www.tripadvisor.in/Hotel_Review-g775971-d2223100-Reviews-Radisson_Blu_Resort_Goa_Cavelossim_Beach-Cavelossim_Goa.html,8,4,4.5,4,4,4,4.5,3.8,0.5,7.6
17,DoubleTree by Hilton Hotel Goa - Arpora - Baga,4,http://www.tripadvisor.in/Hotel_Review-g312680-d3370050-Reviews-DoubleTree_by_Hilton_Hotel_Goa_Arpora_Baga-Arpora_Goa.html,8,4,4,4,4,4,4,3.1,0.8,6.2
18,Bogmallo Beach Resort,4,http://www.tripadvisor.in/Hotel_Review-g1092070-d307409-Reviews-Bogmallo_Beach_Resort-Bogmalo_Goa.html,7,4.5,4,4,3.5,3.5,4,3.5,0.2,6.9
